iter	Passed	Remaining
0	1	185
1	3	168
2	4	160
3	6	151
4	8	153
5	10	169
6	13	174
7	14	169
8	16	165
9	17	161
10	19	157
11	21	155
12	23	154
13	24	151
14	26	148
15	28	147
16	29	144
17	31	142
18	32	140
19	34	138
20	36	136
21	38	134
22	39	133
23	41	131
24	43	130
25	45	129
26	46	126
27	48	124
28	50	122
29	51	120
30	53	118
31	55	116
32	56	115
33	58	113
34	59	111
35	61	109
36	63	107
37	64	105
38	66	103
39	67	101
40	69	99
41	69	96
42	71	94
43	73	92
44	74	90
45	75	89
46	77	87
47	78	85
48	80	83
49	82	82
50	83	80
51	84	78
52	86	76
53	87	74
54	89	73
55	90	71
56	92	69
57	94	68
58	95	66
59	97	64
60	98	63
61	100	61
62	102	60
63	104	58
64	106	57
65	108	55
66	111	54
67	112	53
68	114	51
69	115	49
70	117	47
71	119	46
72	120	44
73	122	42
74	123	41
75	125	39
76	126	37
77	128	36
78	130	34
79	131	32
80	133	31
81	134	29
82	136	27
83	137	26
84	140	24
85	141	23
86	143	21
87	144	19
88	146	18
89	148	16
90	149	14
91	151	13
92	153	11
93	155	9
94	156	8
95	158	6
96	160	4
97	161	3
98	163	1
99	165	0
