iter	Passed	Remaining
0	152	151961
1	154	77043
2	156	52046
3	159	39679
4	162	32308
5	165	27371
6	168	23841
7	170	21124
8	172	19010
9	175	17359
10	177	15968
11	181	14914
12	183	13954
13	186	13115
14	188	12359
15	190	11722
16	193	11217
17	196	10711
18	198	10258
19	200	9838
20	202	9453
21	205	9123
22	208	8844
23	211	8605
24	213	8327
25	215	8086
26	217	7848
27	219	7615
28	221	7410
29	223	7236
30	226	7068
31	228	6912
32	230	6764
33	233	6622
34	235	6490
35	238	6374
36	240	6263
37	242	6143
38	244	6021
39	246	5914
40	248	5807
41	249	5699
42	252	5615
43	254	5519
44	255	5424
45	257	5335
46	258	5250
47	260	5165
48	261	5080
49	264	5020
50	266	4958
51	268	4898
52	270	4832
53	271	4763
54	273	4703
55	275	4641
56	276	4573
57	278	4525
58	280	4478
59	282	4428
60	283	4370
61	285	4314
62	286	4261
63	287	4210
64	289	4160
65	290	4109
66	291	4058
67	293	4016
68	294	3976
69	296	3933
70	297	3892
71	298	3846
72	299	3807
73	300	3766
74	301	3722
75	302	3682
76	303	3641
77	304	3600
78	305	3563
79	308	3547
80	310	3517
81	311	3482
82	311	3443
83	312	3411
84	314	3382
85	315	3351
86	316	3320
87	317	3287
88	318	3257
89	319	3226
90	320	3196
91	320	3167
92	321	3137
93	322	3110
94	324	3087
95	325	3064
96	326	3039
97	327	3013
98	328	2988
99	329	2963
100	330	2937
101	331	2915
102	332	2891
103	332	2868
104	334	2847
105	335	2826
106	335	2804
107	336	2782
108	338	2766
109	339	2749
110	340	2728
111	341	2710
112	342	2690
113	343	2673
114	344	2653
115	345	2633
116	346	2613
117	346	2593
118	347	2574
119	348	2556
120	349	2539
121	350	2520
122	351	2505
123	352	2487
124	353	2473
125	354	2457
126	355	2441
127	356	2425
128	357	2412
129	358	2396
130	358	2380
131	359	2366
132	360	2351
133	361	2336
134	362	2321
135	363	2307
136	364	2295
137	365	2283
138	366	2270
139	367	2256
140	368	2246
141	370	2236
142	371	2223
143	371	2210
144	372	2197
145	373	2185
146	374	2173
147	375	2160
148	376	2149
149	377	2138
150	378	2126
151	378	2114
152	379	2101
153	380	2089
154	381	2079
155	382	2070
156	384	2064
157	385	2054
158	386	2044
159	387	2034
160	388	2022
161	388	2012
162	389	2000
163	390	1990
164	391	1980
165	392	1970
166	393	1960
167	394	1951
168	395	1942
169	396	1935
170	397	1927
171	398	1918
172	399	1910
173	400	1903
174	402	1895
175	403	1887
176	403	1878
177	404	1869
178	406	1862
179	407	1854
180	408	1847
181	409	1839
182	410	1830
183	410	1821
184	411	1813
185	412	1806
186	414	1801
187	415	1796
188	416	1788
189	417	1781
190	419	1777
191	420	1769
192	421	1761
193	422	1753
194	423	1746
195	423	1738
196	424	1730
197	425	1724
198	426	1716
199	427	1708
200	428	1704
201	429	1698
202	430	1690
203	431	1685
